country,country_code,year_week,age_group,new_cases,population,rate_14_day_per_100k,source
Austria,AT,2020-01,<15yr,,1285488.0,,TESSy COVID-19
Austria,AT,2020-02,<15yr,,1285488.0,,TESSy COVID-19
Austria,AT,2020-03,<15yr,,1285488.0,,TESSy COVID-19
Austria,AT,2020-04,<15yr,,1285488.0,,TESSy COVID-19
Austria,AT,2020-05,<15yr,,1285488.0,,TESSy COVID-19
Austria,AT,2020-06,<15yr,,1285488.0,,TESSy COVID-19
Austria,AT,2020-07,<15yr,,1285488.0,,TESSy COVID-19
Austria,AT,2020-08,<15yr,,1285488.0,,TESSy COVID-19
Austria,AT,2020-09,<15yr,0.0,1285488.0,,TESSy COVID-19
Austria,AT,2020-10,<15yr,7.0,1285488.0,0.544540283534347,TESSy COVID-19
Austria,AT,2020-11,<15yr,10.0,1285488.0,1.3224549742977,TESSy COVID-19
Austria,AT,2020-12,<15yr,58.0,1285488.0,5.28981989719079,TESSy COVID-19
Austria,AT,2020-13,<15yr,156.0,1285488.0,16.6473743823357,TESSy COVID-19
Austria,AT,2020-14,<15yr,104.0,1285488.0,20.2257819598472,TESSy COVID-19
Austria,AT,2020-15,<15yr,54.0,1285488.0,12.291052114061,TESSy COVID-19
Austria,AT,2020-16,<15yr,14.0,1285488.0,5.28981989719079,TESSy COVID-19
Austria,AT,2020-17,<15yr,21.0,1285488.0,2.72270141767173,TESSy COVID-19
Austria,AT,2020-18,<15yr,20.0,1285488.0,3.18945023212974,TESSy COVID-19
Austria,AT,2020-19,<15yr,6.0,1285488.0,2.02257819598472,TESSy COVID-19
Austria,AT,2020-20,<15yr,26.0,1285488.0,2.48932701044273,TESSy COVID-19
Austria,AT,2020-21,<15yr,25.0,1285488.0,3.9673649228931,TESSy COVID-19
Austria,AT,2020-22,<15yr,28.0,1285488.0,4.12294786104577,TESSy COVID-19
Austria,AT,2020-23,<15yr,33.0,1285488.0,4.74527961365645,TESSy COVID-19
Austria,AT,2020-24,<15yr,22.0,1285488.0,4.27853079919844,TESSy COVID-19
Austria,AT,2020-25,<15yr,32.0,1285488.0,4.2007393301221,TESSy COVID-19
Austria,AT,2020-26,<15yr,42.0,1285488.0,5.75656871164881,TESSy COVID-19
Austria,AT,2020-27,<15yr,109.0,1285488.0,11.7465118305266,TESSy COVID-19
Austria,AT,2020-28,<15yr,59.0,1285488.0,13.0689668048243,TESSy COVID-19
Austria,AT,2020-29,<15yr,95.0,1285488.0,11.9798862377556,TESSy COVID-19
Austria,AT,2020-30,<15yr,82.0,1285488.0,13.7690900265113,TESSy COVID-19
Austria,AT,2020-31,<15yr,75.0,1285488.0,12.2132606449846,TESSy COVID-19
Austria,AT,2020-32,<15yr,53.0,1285488.0,9.95730804177091,TESSy COVID-19
Austria,AT,2020-33,<15yr,77.0,1285488.0,10.1128909799236,TESSy COVID-19
Austria,AT,2020-34,<15yr,130.0,1285488.0,16.1028340988014,TESSy COVID-19
Austria,AT,2020-35,<15yr,177.0,1285488.0,23.8819810064349,TESSy COVID-19
Austria,AT,2020-36,<15yr,228.0,1285488.0,31.5055449759158,TESSy COVID-19
Austria,AT,2020-37,<15yr,387.0,1285488.0,47.8417534819462,TESSy COVID-19
Austria,AT,2020-38,<15yr,512.0,1285488.0,69.9345306996254,TESSy COVID-19
Austria,AT,2020-39,<15yr,470.0,1285488.0,76.3912226329612,TESSy COVID-19
Austria,AT,2020-40,<15yr,615.0,1285488.0,84.4037439478237,TESSy COVID-19
Austria,AT,2020-41,<15yr,841.0,1285488.0,113.264378975144,TESSy COVID-19
Austria,AT,2020-42,<15yr,985.0,1285488.0,142.047222533388,TESSy COVID-19
Austria,AT,2020-43,<15yr,1367.0,1285488.0,182.96553526754,TESSy COVID-19
Austria,AT,2020-44,<15yr,1882.0,1285488.0,252.744483029013,TESSy COVID-19
Austria,AT,2020-45,<15yr,2038.0,1285488.0,304.942558779234,TESSy COVID-19
Austria,AT,2020-46,<15yr,2918.0,1285488.0,385.534520742317,TESSy COVID-19
Austria,AT,2020-47,<15yr,2638.0,1285488.0,432.209402188118,TESSy COVID-19
Austria,AT,2020-48,<15yr,1876.0,1285488.0,351.150691410577,TESSy COVID-19
Austria,AT,2020-49,<15yr,1225.0,1285488.0,241.231345605716,TESSy COVID-19
Austria,AT,2020-50,<15yr,1004.0,1285488.0,173.397184571151,TESSy COVID-19
Austria,AT,2020-51,<15yr,958.0,1285488.0,152.62686232777,TESSy COVID-19
Austria,AT,2020-52,<15yr,874.0,1285488.0,142.513971347846,TESSy COVID-19
Austria,AT,2020-53,<15yr,802.0,1285488.0,130.378502171938,TESSy COVID-19
Austria,AT,2021-01,<15yr,746.0,1285488.0,120.421194130167,TESSy COVID-19
Austria,AT,2021-02,<15yr,518.0,1285488.0,98.3284169124877,TESSy COVID-19
Austria,AT,2021-03,<15yr,674.0,1285488.0,92.7274311389916,TESSy COVID-19
Austria,AT,2021-04,<15yr,749.0,1285488.0,110.697260495625,TESSy COVID-19
Austria,AT,2021-05,<15yr,784.0,1285488.0,119.254322094022,TESSy COVID-19
Austria,AT,2021-06,<15yr,968.0,1285488.0,136.290653821739,TESSy COVID-19
Austria,AT,2021-07,<15yr,1559.0,1285488.0,196.579042355899,TESSy COVID-19
Austria,AT,2021-08,<15yr,2090.0,1285488.0,283.861070659547,TESSy COVID-19
Austria,AT,2021-09,<15yr,2476.0,1285488.0,355.195847802547,TESSy COVID-19
Austria,AT,2021-10,<15yr,2711.0,1285488.0,403.504350098951,TESSy COVID-19
Austria,AT,2021-11,<15yr,2993.0,1285488.0,443.722539611416,TESSy COVID-19
Austria,AT,2021-12,<15yr,3127.0,1285488.0,476.083790747172,TESSy COVID-19
Austria,AT,2021-13,<15yr,2440.0,1285488.0,433.065108347958,TESSy COVID-19
Austria,AT,2021-14,<15yr,2052.0,1285488.0,349.439279090898,TESSy COVID-19
Austria,AT,2021-15,<15yr,2560.0,1285488.0,358.774255380058,TESSy COVID-19
Austria,AT,2021-16,<15yr,2359.0,1285488.0,382.656236386493,TESSy COVID-19
Austria,AT,2021-17,<15yr,2173.0,1285488.0,352.550937853951,TESSy COVID-19
Austria,AT,2021-18,<15yr,1601.0,1285488.0,293.585004294089,TESSy COVID-19
Austria,AT,2021-19,<15yr,1018.0,1285488.0,203.735857510922,TESSy COVID-19
Austria,AT,2021-20,<15yr,765.0,1285488.0,138.702189363106,TESSy COVID-19
Austria,AT,2021-21,<15yr,550.0,1285488.0,102.295781835381,TESSy COVID-19
Austria,AT,2021-22,<15yr,394.0,1285488.0,73.4351468080604,TESSy COVID-19
Austria,AT,2021-23,<15yr,281.0,1285488.0,52.5092416265263,TESSy COVID-19
Austria,AT,2021-24,<15yr,171.0,1285488.0,35.1617440225035,TESSy COVID-19
Austria,AT,2021-25,<15yr,146.0,1285488.0,24.6598956971983,TESSy COVID-19
Austria,AT,2021-26,<15yr,93.0,1285488.0,18.5921611092441,TESSy COVID-19
Austria,AT,2021-27,<15yr,106.0,1285488.0,15.4805023461907,TESSy COVID-19
Austria,AT,2021-28,<15yr,151.0,1285488.0,19.9924075526182,TESSy COVID-19
Austria,AT,2021-29,<15yr,226.0,1285488.0,29.3273838417784,TESSy COVID-19
Austria,AT,2021-30,<15yr,263.0,1285488.0,38.0400283783279,TESSy COVID-19
Austria,AT,2021-31,<15yr,384.0,1285488.0,50.3310804923889,TESSy COVID-19
Austria,AT,2021-32,<15yr,806.0,1285488.0,92.5718482008389,TESSy COVID-19
Austria,AT,2021-33,<15yr,1192.0,1285488.0,155.427355214518,TESSy COVID-19
Austria,AT,2021-34,<15yr,1575.0,1285488.0,215.24899493422,TESSy COVID-19
Austria,AT,2021-35,<15yr,2042.0,1285488.0,281.371743649104,TESSy COVID-19
Austria,AT,2021-36,<15yr,2830.0,1285488.0,379.000037339905,TESSy COVID-19
Austria,AT,2021-37,<15yr,3339.0,1285488.0,479.895572731912,TESSy COVID-19
Austria,AT,2021-38,<15yr,2791.0,1285488.0,476.861705437935,TESSy COVID-19
Austria,AT,2021-39,<15yr,2980.0,1285488.0,448.934568039531,TESSy COVID-19
Austria,AT,2021-40,<15yr,2682.0,1285488.0,440.45529791021,TESSy COVID-19
Austria,AT,2021-41,<15yr,2977.0,1285488.0,440.221923502981,TESSy COVID-19
Austria,AT,2021-42,<15yr,4762.0,1285488.0,602.028179181758,TESSy COVID-19
Austria,AT,2021-43,<15yr,5461.0,1285488.0,795.262188367375,TESSy COVID-19
Austria,AT,2021-44,<15yr,8363.0,1285488.0,1075.38926851126,TESSy COVID-19
