country,country_code,year_week,source,new_cases,number_sequenced,percent_cases_sequenced,valid_denominator,variant,number_detections_variant,number_sequenced_known_variant,percent_variant
Austria,AT,2020-01,GISAID,0,0,,True,B.1.1.529,0,0.0,
Austria,AT,2020-01,GISAID,0,0,,True,B.1.617.2,0,0.0,
Austria,AT,2020-01,GISAID,0,0,,True,BA.4,0,0.0,
Austria,AT,2020-01,GISAID,0,0,,True,BA.5,0,0.0,
Austria,AT,2020-01,GISAID,0,0,,True,Other,0,0.0,
Austria,AT,2020-01,GISAID,0,0,,True,UNK,0,,
Austria,AT,2020-01,GISAID,0,0,,True,XD,0,0.0,
Austria,AT,2020-02,GISAID,0,0,,True,B.1.1.529,0,0.0,
Austria,AT,2020-02,GISAID,0,0,,True,B.1.617.2,0,0.0,
Austria,AT,2020-02,GISAID,0,0,,True,BA.4,0,0.0,
Austria,AT,2020-02,GISAID,0,0,,True,BA.5,0,0.0,
Austria,AT,2020-02,GISAID,0,0,,True,Other,0,0.0,
Austria,AT,2020-02,GISAID,0,0,,True,UNK,0,,
Austria,AT,2020-02,GISAID,0,0,,True,XD,0,0.0,
Austria,AT,2020-03,GISAID,0,0,,True,B.1.1.529,0,0.0,
Austria,AT,2020-03,GISAID,0,0,,True,B.1.617.2,0,0.0,
Austria,AT,2020-03,GISAID,0,0,,True,BA.4,0,0.0,
Austria,AT,2020-03,GISAID,0,0,,True,BA.5,0,0.0,
Austria,AT,2020-03,GISAID,0,0,,True,Other,0,0.0,
Austria,AT,2020-03,GISAID,0,0,,True,UNK,0,,
Austria,AT,2020-03,GISAID,0,0,,True,XD,0,0.0,
Austria,AT,2020-04,GISAID,0,0,,True,B.1.1.529,0,0.0,
Austria,AT,2020-04,GISAID,0,0,,True,B.1.617.2,0,0.0,
Austria,AT,2020-04,GISAID,0,0,,True,BA.4,0,0.0,
Austria,AT,2020-04,GISAID,0,0,,True,BA.5,0,0.0,
Austria,AT,2020-04,GISAID,0,0,,True,Other,0,0.0,
Austria,AT,2020-04,GISAID,0,0,,True,UNK,0,,
Austria,AT,2020-04,GISAID,0,0,,True,XD,0,0.0,
Austria,AT,2020-05,GISAID,0,0,,True,B.1.1.529,0,0.0,
Austria,AT,2020-05,GISAID,0,0,,True,B.1.617.2,0,0.0,
Austria,AT,2020-05,GISAID,0,0,,True,BA.4,0,0.0,
Austria,AT,2020-05,GISAID,0,0,,True,BA.5,0,0.0,
Austria,AT,2020-05,GISAID,0,0,,True,Other,0,0.0,
Austria,AT,2020-05,GISAID,0,0,,True,UNK,0,,
Austria,AT,2020-05,GISAID,0,0,,True,XD,0,0.0,
Austria,AT,2020-06,GISAID,0,0,,True,B.1.1.529,0,0.0,
Austria,AT,2020-06,GISAID,0,0,,True,B.1.617.2,0,0.0,
Austria,AT,2020-06,GISAID,0,0,,True,BA.4,0,0.0,
Austria,AT,2020-06,GISAID,0,0,,True,BA.5,0,0.0,
Austria,AT,2020-06,GISAID,0,0,,True,Other,0,0.0,
Austria,AT,2020-06,GISAID,0,0,,True,UNK,0,,
Austria,AT,2020-06,GISAID,0,0,,True,XD,0,0.0,
Austria,AT,2020-07,GISAID,0,0,,True,B.1.1.529,0,0.0,
Austria,AT,2020-07,GISAID,0,0,,True,B.1.617.2,0,0.0,
Austria,AT,2020-07,GISAID,0,0,,True,BA.4,0,0.0,
Austria,AT,2020-07,GISAID,0,0,,True,BA.5,0,0.0,
Austria,AT,2020-07,GISAID,0,0,,True,Other,0,0.0,
Austria,AT,2020-07,GISAID,0,0,,True,UNK,0,,
Austria,AT,2020-07,GISAID,0,0,,True,XD,0,0.0,
Austria,AT,2020-08,GISAID,0,0,,True,B.1.1.529,0,0.0,
Austria,AT,2020-08,GISAID,0,0,,True,B.1.617.2,0,0.0,
Austria,AT,2020-08,GISAID,0,0,,True,BA.4,0,0.0,
Austria,AT,2020-08,GISAID,0,0,,True,BA.5,0,0.0,
Austria,AT,2020-08,GISAID,0,0,,True,Other,0,0.0,
Austria,AT,2020-08,GISAID,0,0,,True,UNK,0,,
Austria,AT,2020-08,GISAID,0,0,,True,XD,0,0.0,
Austria,AT,2020-09,GISAID,12,8,66.7,True,B.1.1.529,0,8.0,0.0
Austria,AT,2020-09,GISAID,12,8,66.7,True,B.1.617.2,0,8.0,0.0
Austria,AT,2020-09,GISAID,12,8,66.7,True,BA.4,0,8.0,0.0
Austria,AT,2020-09,GISAID,12,8,66.7,True,BA.5,0,8.0,0.0
Austria,AT,2020-09,GISAID,12,8,66.7,True,Other,8,8.0,100.0
Austria,AT,2020-09,GISAID,12,8,66.7,True,UNK,0,,
Austria,AT,2020-09,GISAID,12,8,66.7,True,XD,0,8.0,0.0
Austria,AT,2020-10,GISAID,114,58,50.9,True,B.1.1.529,0,58.0,0.0
Austria,AT,2020-10,GISAID,114,58,50.9,True,B.1.617.2,0,58.0,0.0
Austria,AT,2020-10,GISAID,114,58,50.9,True,BA.4,0,58.0,0.0
Austria,AT,2020-10,GISAID,114,58,50.9,True,BA.5,0,58.0,0.0
Austria,AT,2020-10,GISAID,114,58,50.9,True,Other,58,58.0,100.0
Austria,AT,2020-10,GISAID,114,58,50.9,True,UNK,0,,
Austria,AT,2020-10,GISAID,114,58,50.9,True,XD,0,58.0,0.0
Austria,AT,2020-11,GISAID,874,119,13.6,True,B.1.1.529,0,119.0,0.0
Austria,AT,2020-11,GISAID,874,119,13.6,True,B.1.617.2,0,119.0,0.0
Austria,AT,2020-11,GISAID,874,119,13.6,True,BA.4,0,119.0,0.0
Austria,AT,2020-11,GISAID,874,119,13.6,True,BA.5,0,119.0,0.0
Austria,AT,2020-11,GISAID,874,119,13.6,True,Other,119,119.0,100.0
Austria,AT,2020-11,GISAID,874,119,13.6,True,UNK,0,,
Austria,AT,2020-11,GISAID,874,119,13.6,True,XD,0,119.0,0.0
Austria,AT,2020-12,GISAID,3068,136,4.4,True,B.1.1.529,0,136.0,0.0
Austria,AT,2020-12,GISAID,3068,136,4.4,True,B.1.617.2,0,136.0,0.0
Austria,AT,2020-12,GISAID,3068,136,4.4,True,BA.4,0,136.0,0.0
Austria,AT,2020-12,GISAID,3068,136,4.4,True,BA.5,0,136.0,0.0
Austria,AT,2020-12,GISAID,3068,136,4.4,True,Other,136,136.0,100.0
Austria,AT,2020-12,GISAID,3068,136,4.4,True,UNK,0,,
Austria,AT,2020-12,GISAID,3068,136,4.4,True,XD,0,136.0,0.0
Austria,AT,2020-13,GISAID,5128,161,3.1,True,B.1.1.529,0,161.0,0.0
Austria,AT,2020-13,GISAID,5128,161,3.1,True,B.1.617.2,0,161.0,0.0
Austria,AT,2020-13,GISAID,5128,161,3.1,True,BA.4,0,161.0,0.0
Austria,AT,2020-13,GISAID,5128,161,3.1,True,BA.5,0,161.0,0.0
Austria,AT,2020-13,GISAID,5128,161,3.1,True,Other,161,161.0,100.0
Austria,AT,2020-13,GISAID,5128,161,3.1,True,UNK,0,,
Austria,AT,2020-13,GISAID,5128,161,3.1,True,XD,0,161.0,0.0
Austria,AT,2020-14,GISAID,3116,109,3.5,True,B.1.1.529,0,109.0,0.0
Austria,AT,2020-14,GISAID,3116,109,3.5,True,B.1.617.2,0,109.0,0.0
Austria,AT,2020-14,GISAID,3116,109,3.5,True,BA.4,0,109.0,0.0
Austria,AT,2020-14,GISAID,3116,109,3.5,True,BA.5,0,109.0,0.0
Austria,AT,2020-14,GISAID,3116,109,3.5,True,Other,109,109.0,100.0
Austria,AT,2020-14,GISAID,3116,109,3.5,True,UNK,0,,
Austria,AT,2020-14,GISAID,3116,109,3.5,True,XD,0,109.0,0.0
Austria,AT,2020-15,GISAID,1838,56,3.0,True,B.1.1.529,0,56.0,0.0
Austria,AT,2020-15,GISAID,1838,56,3.0,True,B.1.617.2,0,56.0,0.0
Austria,AT,2020-15,GISAID,1838,56,3.0,True,BA.4,0,56.0,0.0
Austria,AT,2020-15,GISAID,1838,56,3.0,True,BA.5,0,56.0,0.0
Austria,AT,2020-15,GISAID,1838,56,3.0,True,Other,56,56.0,100.0
Austria,AT,2020-15,GISAID,1838,56,3.0,True,UNK,0,,
